from,to,weight,year,az,code
Ziffer7,AADW,1,2005,(BK1-212/05),(AADW/2005/01)
Ziffer2,AAO,1,2013,(454/13/1),(AAO/2013/1)
Ziffer8,AAO,1,2013,(454/13/1),(AAO/2013/1)
Ziffer9,AAO,1,2013,(454/13/1),(AAO/2013/1)
Ziffer7,AB,1,2019,(0486/19/3),(AB/2019/1)
Ziffer11,ABZ,1,2016,(0125/16/2),(ABZ/2016/1)
Ziffer13,ABZ,2,1990,(B 29/90),(ABZ/1990/1)
Ziffer2,ABZ,1,1991,(B 12/91),(ABZ/1991/1)
Ziffer7,ABZ,1,2005,(BK2-178/0),(ABZ/2005/01)
Ziffer7,ABZ,1,2006,(BK2-49/06),(ABZ/2006/01)
Ziffer8,ABZ,2,1994,(B 37/94),(ABZ/1994/1)
Ziffer8,ABZ,2,1995,(B 15b/95),(ABZ/1995/1)
Ziffer8,ABZ,1,2003,"(B1-118,151/03)",(ABZ/2003/01)
Ziffer8,ABZ,1,2003,(B1-271/02),(ABZ/2003/02)
Ziffer11,ABZM,1,2006,(BK2-256/05),(ABZM/2006/01)
Ziffer8,ABZM,1,2005,(BK1-176/05),(ABZM/2005/01)
Ziffer9,ABZM,1,2005,(BK1-176/05),(ABZM/2005/01)
Ziffer8,ABZN,1,2006,(BK2-283/05),(ABZN/2006/01)
Ziffer1,ABZO,1,2015,(0787/15/2),(ABZO/2015/1)
Ziffer7,AEB,1,2018,(0282/18/3),(AEB/2018/1)
Ziffer7,AFDA,1,2010,(0644/10/1),(AFDA/2010/1)
Ziffer7,AFDA,1,2017,(0792/17/3),(AFDA/2017/1)
Ziffer7,AnW,1,2008,(BK2-251/08),(AnW/2008/01)
Ziffer9,ANZ,2,1995,(B 94/94),(AZ/1995/1)
Ziffer11,AP,1,1998,(B 28/98),(AP/1998/1)
Ziffer7,ARF,1,2007,(BK1-77/07),(ARF/2007/01)
Ziffer7,AUGN,1,2005,(BK1-202/04),(AUGN/2005/01
Ziffer7,AUM,1,2005,(BK1-201/04),(AUM/2005/01)
Ziffer7,AUM,1,2008,(BK2-78/08),(AUM/2008/01)
Ziffer7,AUZ,1,2011,(0612/11/1),(AUZ/2011/1)
Ziffer7,AUZ,1,2019,(0675/18/3),(AUZ/2019/1)
Ziffer9,AZ,1,2001,(B 21/01),(AZ/2001/01)
Ziffer7,B,1,2019,(0304/19/3),(B/2019/1)
Ziffer7,B1,1,2012,(0409/12/2),(B1/2012/1)
Ziffer2,BA,1,2005,(BK1-133/05),(BA/2005/01)
Ziffer12,BB,1,2002,(B1-61/02),(BB/2002/01)
Ziffer8,BBZ,2,2001,(B 184/01),(BBZ/2001/01)
Ziffer8,BDZ,1,2004,(BK2-155/04),(BDZ/2004/01)
Ziffer12,BE,1,1997,(B 71/97),(BE/1997/1)
Ziffer7,BERZ,1,2004,(BK2-124/04),(BERZ/2004/01)
Ziffer2,BG,1,1998,"(B 91,92/98)",(BG/1998/1)
Ziffer4,BG,1,1998,"(B 91,92/98)",(BG/1998/1)
Ziffer8,BG,1,2010,(0438/10/1),(BG/2010/1)
Ziffer1,BI,1,1993,(B 50/92),(BI/1993/1)
Ziffer14,BI,1,1994,(B 44/93),(BI/1994/2)
Ziffer2,BI,1,1994,(B 44/93),(BI/1994/1)
Ziffer2,BI,1,1998,(B 107/97),(BI/1998/1)
Ziffer9,BI,1,1993,(B 50/92),(BI/1993/2)
Ziffer1,Bild,1,2001,(B 186/01),(Bild/2001/03)
Ziffer1,Bild,1,2002,(B1-137/02),(Bild/2002/05)
Ziffer1,Bild,1,2004,(BK2-117/04),(Bild/2004/01)
Ziffer1,Bild,1,2004,(BK1-70/04),(Bild/2004/04)
Ziffer1,Bild,1,2004,(BK1-62/04),(Bild/2004/06)
Ziffer1,Bild,1,2004,"(B1-8,9,10,11,12,13,14/04)",(Bild/2004/09)
Ziffer1,Bild,1,2004,(B1-6/04),(Bild/2004/10)
Ziffer1,Bild,1,2007,(BK2-9/07),(Bild/2007/02)
Ziffer1,Bild,1,2009,(BK1-231-233/09),(Bild/2009/06)
Ziffer1,Bild,1,2015,(0735/14/2),(Bild/2015/4)
Ziffer1,Bild,1,2018,(1060/17/1),(Bild/2018/1)
Ziffer11,Bild,1,1994,(B 62/94),(Bild/1994/7)
Ziffer11,Bild,1,1995,(B 86a/94),(Bild/1995/1)
Ziffer11,Bild,2,1995,(B 15a/95),(Bild/1995/3)
Ziffer11,Bild,2,1996,(B 39/96),(Bild/1996/5)
Ziffer11,Bild,1,1997,(B 155a-d/97),(Bild/1997/6)
Ziffer11,Bild,1,2000,(B 158/00),(Bild/2000/01)
Ziffer11,Bild,2,2001,"(B 105,106,107/01)",(Bild/2001/08)
Ziffer11,Bild,1,2002,(B1-14/02),(Bild/2002/09)
Ziffer11,Bild,1,2002,"(B1-9,10,11/02)",(Bild/2002/10)
Ziffer11,Bild,1,2004,(BK1-70/04),(Bild/2004/04)
Ziffer11,Bild,1,2004,(BK1-62/04),(Bild/2004/06)
Ziffer11,Bild,1,2004,"(B1-8,9,10,11,12,13,14/04)",(Bild/2004/09)
Ziffer11,Bild,1,2007,(BK2-9/07),(Bild/2007/02)
Ziffer11,Bild,1,2008,"(BK2-232, 233, 234, 235, 236/08)",(Bild/2008/01)
Ziffer11,Bild,1,2009,(BK1-285/08 - BK1-290/08),(Bild/2009/01)
Ziffer11,Bild,1,2009,"(BK2-72-74/09, 86/09)",(Bild/2009/02)
Ziffer11,Bild,1,2009,(BK1-231-233/09),(Bild/2009/06)
Ziffer11,Bild,1,2014,(0463+0464/14/2),(Bild/2014/1)
Ziffer11,Bild,1,2015,(0309/15/2),(Bild/2015/2)
Ziffer12,Bild,1,1994,(B 33/94),(Bild/1994/3)
Ziffer12,Bild,1,2001,(B 186/01),(Bild/2001/03)
Ziffer12,Bild,1,2004,(BK2-117/04),(Bild/2004/01)
Ziffer12,Bild,1,2004,(B1-193/03),(Bild/2004/11)
Ziffer12,Bild,1,2007,(BK2-9/07),(Bild/2007/02)
Ziffer13,Bild,1,1992,(B 14/92),(Bild/1992/2)
Ziffer13,Bild,2,1993,(B 64/92),(Bild/1993/2)
Ziffer13,Bild,1,1993,(B 26/93),(Bild/1993/3)
Ziffer13,Bild,2,1994,(B 15/94),(Bild/1994/2)
Ziffer13,Bild,1,1994,(B 62/94),(Bild/1994/8)
Ziffer13,Bild,2,1994,(B 74/94),(Bild/1994/10)
Ziffer13,Bild,2,1995,(B 15a/95),(Bild/1995/3)
Ziffer13,Bild,1,1997,(B 37/97),(Bild/1997/1)
Ziffer13,Bild,1,1997,(B 109/97),(Bild/1997/3)
Ziffer13,Bild,1,1997,(B 143/97),(Bild/1997/4)
Ziffer13,Bild,1,1999,(B 1/99),(Bild/1999/2)
Ziffer13,Bild,2,1999,(B 76/99),(Bild/1999/3)
Ziffer13,Bild,1,2000,(B 91/00),(Bild/2000/03)
Ziffer13,Bild,1,2001,(B 205/01),(Bild/2001/01)
Ziffer13,Bild,1,2001,(B 166/01),(Bild/2001/04)
Ziffer13,Bild,1,2001,(B 162/01),(Bild/2001/05)
Ziffer13,Bild,1,2001,(B 34/01),(Bild/2001/09)
Ziffer13,Bild,1,2002,(B1-150/02),(Bild/2002/03)
Ziffer13,Bild,1,2003,(B1-88/03),(Bild/2003/03)
Ziffer13,Bild,1,2005,(BK2-124/05),(Bild/2005/01)
Ziffer13,Bild,2,2009,(BK2-317/08),(Bild/2009/05)
