id,name,type,region,published,label
ZifferPra,Pressekodex Präambel,0,NA,NA,ZifferPra
Ziffer1,Pressekodex Ziffer 1,0,NA,NA,Ziffer1
Ziffer2,Pressekodex Ziffer 2,0,NA,NA,Ziffer2
Ziffer3,Pressekodex Ziffer 3,0,NA,NA,Ziffer3
Ziffer4,Pressekodex Ziffer 4,0,NA,NA,Ziffer4
Ziffer5,Pressekodex Ziffer 5,0,NA,NA,Ziffer5
Ziffer6,Pressekodex Ziffer 6,0,NA,NA,Ziffer6
Ziffer7,Pressekodex Ziffer 7,0,NA,NA,Ziffer7
Ziffer8,Pressekodex Ziffer 8,0,NA,NA,Ziffer8
Ziffer9,Pressekodex Ziffer 9,0,NA,NA,Ziffer9
Ziffer10,Pressekodex Ziffer 10,0,NA,NA,Ziffer10
Ziffer11,Pressekodex Ziffer 11,0,NA,NA,Ziffer11
Ziffer12,Pressekodex Ziffer 12,0,NA,NA,Ziffer12
Ziffer13,Pressekodex Ziffer 13,0,NA,NA,Ziffer13
Ziffer14,Pressekodex Ziffer 14,0,NA,NA,Ziffer14
Zifferunbekannt,Pressekodex unbekannt,0,NA,NA,Zifferunbekannt
AAO,Augsburger Allgemeine Online,1,1,0,AAO
BildDE,Bild.de,1,0,0,BildDE
BildO,Bild Online,1,0,0,BildO
BMPO,Berliner Morgenpost Online,1,1,0,BMPO
BZO,B.Z.-Online,1,1,0,BZO
DA,Die Aktuelle,1,0,0,DA
DHO,Die Harke Online,1,0,0,DHO
DWO,Deutsches Waffenjournal Online,1,0,0,DWO
ExpressO,Express Online,1,0,0,ExpressO
FAZN,FAZ.net,1,0,0,FAZN
FN,Fishtown News,1,1,0,FN
FocusO,Focus Online,1,0,0,FocusO
MO,Merkur Online,1,1,0,MO
NWZO,Nordwest-Zeitung Online,1,1,0,NWZO
TGSO,Tagesspiegel Online,1,0,0,TGSO
TitanicO,Titanic Online,1,0,0,TitanicO
TZO,TZ Online,1,1,0,TZO
WO,WELT Online,1,0,0,WO
AADW,Aktuelles aus der Wirtschaft,1,0,1,AADW
ABZ,Abendzeitung,1,1,1,ABZ
ABZM,Abendzeitung München,1,1,1,ABZM
ABZN,Abendzeitung Nürnberg,1,1,1,ABZN
AFDA,Alles für die Frau,1,0,1,AFDA
AnW,Angelwoche,1,0,1,AnW
ANZ,Andere Zeitung,1,0,1,ANZ
AP,Animal Peace,1,0,1,AP
ARF,Aktiv Radfahren,1,0,1,ARF
AUGN,Augsburger News,1,1,1,AUGN
AUM,Audimax,1,0,1,AUM
AUZ,Auto Zeitung,1,0,1,AUZ
AZ,Allgäuer Zeitung,1,1,1,AZ
B1,brand eins,1,0,1,B1
BA,Branchen Anzeiger,1,0,1,BA
BB,Bibliser Blatt,1,1,1,BB
BBZ,Butzbacher Zeitung,1,1,1,BBZ
BDZ,Bergedorfer Zeitung,1,1,1,BDZ
BE,Bürger-Echo,1,1,1,BE
BERZ,Berliner Zeitung,1,1,1,BERZ
BG,Bravo Girl,1,0,1,BG
BI,Blitz-Illu,1,0,1,BI
Bild,Bild,1,0,1,Bild
BildA,Bild Aachen,1,1,1,BildA
BildaS,Bild am Sonntag,1,0,1,BildaS
BildB,Bild Berlin,1,1,1,BildB
BildBR,Bild Bremen,1,1,1,BildBR
BildD,Bild Dresden,1,1,1,BildD
BildF,Bild Frankfurt,1,1,1,BildF
BildH,Bild Hannover,1,1,1,BildH
BildHA,Bild Hamburg,1,1,1,BildHA
BildK,Bild Köln,1,1,1,BildK
BildM,Bild München,1,1,1,BildM
BildMW,Bild Mainz Wiesbaden,1,1,1,BildMW
BildN,Bild Nürnberg,1,1,1,BildN
BildRN,Bild Rhein-Neckar,1,1,1,BildRN
BildS,Bild Stuttgart,1,1,1,BildS
BK,Berliner Kurier,1,1,1,BK
BM,Business Magazin,1,0,1,BM
BMP,Berliner Morgenpost,1,1,1,BMP
BOZ,Borkumer Zeitung,1,1,1,BOZ
Bravo,Bravo,1,0,1,Bravo
BravoHH,Bravo Hip Hop,1,0,1,BravoHH
BravoS,Bravo Special,1,0,1,BravoS
BRZ,Braunschweiger Zeitung,1,1,1,BRZ
BS,Bayrische Staatszeitung,1,1,1,BS
BSZ,Bad Sodener Zeitung,1,1,1,BSZ
Bunte,Bunte,1,0,1,Bunte
BWZ,Bunte Wochen Zeitung,1,0,1,BWZ
