id,name,type,region,published,label
ZifferPra,Pressekodex Präambel,0,3,3,ZifferPra
Ziffer1,Pressekodex Ziffer 1,0,3,3,Ziffer1
Ziffer2,Pressekodex Ziffer 2,0,3,3,Ziffer2
Ziffer3,Pressekodex Ziffer 3,0,3,3,Ziffer3
Ziffer4,Pressekodex Ziffer 4,0,3,3,Ziffer4
Ziffer5,Pressekodex Ziffer 5,0,3,3,Ziffer5
Ziffer6,Pressekodex Ziffer 6,0,3,3,Ziffer6
Ziffer7,Pressekodex Ziffer 7,0,3,3,Ziffer7
Ziffer8,Pressekodex Ziffer 8,0,3,3,Ziffer8
Ziffer9,Pressekodex Ziffer 9,0,3,3,Ziffer9
Ziffer10,Pressekodex Ziffer 10,0,3,3,Ziffer10
Ziffer11,Pressekodex Ziffer 11,0,3,3,Ziffer11
Ziffer12,Pressekodex Ziffer 12,0,3,3,Ziffer12
Ziffer13,Pressekodex Ziffer 13,0,3,3,Ziffer13
Ziffer14,Pressekodex Ziffer 14,0,3,3,Ziffer14
Zifferunbekannt,Pressekodex unbekannt,0,3,3,Zifferunbekannt
AADW,Aktuelles aus der Wirtschaft,1,0,1,AADW
AAO,Augsburger Allgemeine Online,1,1,0,AAO
AB,Auto Bild,1,1,1,AB
ABZ,Abendzeitung,1,1,1,ABZ
ABZM,Abendzeitung München,1,1,1,ABZM
ABZN,Abendzeitung Nürnberg,1,1,1,ABZN
ABZO,Abendzeitung Online,1,0,0,ABZO
AEB,Auf Einen Blick,1,1,1,AEB
AFDA,Alles für die Frau,1,0,1,AFDA
AnW,Angelwoche,1,0,1,AnW
ANZ,Andere Zeitung,1,0,1,ANZ
AP,Animal Peace,1,0,1,AP
ARF,Aktiv Radfahren,1,0,1,ARF
AUGN,Augsburger News,1,1,1,AUGN
AUM,Audimax,1,0,1,AUM
AUZ,Auto Zeitung,1,0,1,AUZ
AZ,Allgäuer Zeitung,1,1,1,AZ
B,Brigitte ,1,1,0,B
B1,brand eins,1,0,1,B1
BA,Branchen Anzeiger,1,0,1,BA
BB,Bibliser Blatt,1,1,1,BB
BBZ,Butzbacher Zeitung,1,1,1,BBZ
BDZ,Bergedorfer Zeitung,1,1,1,BDZ
BE,Bürger-Echo,1,1,1,BE
BERZ,Berliner Zeitung,1,1,1,BERZ
BG,Bravo Girl,1,0,1,BG
BI,Blitz-Illu,1,0,1,BI
Bild,Bild,1,0,1,Bild
BildA,Bild Aachen,1,1,1,BildA
BildaS,Bild am Sonntag,1,0,1,BildaS
BildB,Bild Berlin,1,1,1,BildB
BildBR,Bild Bremen,1,1,1,BildBR
BildD,Bild Dresden,1,1,1,BildD
BildDE,Bild.de,1,0,0,BildDE
BildF,Bild Frankfurt,1,1,1,BildF
BildH,Bild Hannover,1,1,1,BildH
BildHA,Bild Hamburg,1,1,1,BildHA
BildK,Bild Köln,1,1,1,BildK
BildM,Bild München,1,1,1,BildM
BildMW,Bild Mainz Wiesbaden,1,1,1,BildMW
BildN,Bild Nürnberg,1,1,1,BildN
BildO,Bild Online,1,0,0,BildO
BildRN,Bild Rhein-Neckar,1,1,1,BildRN
BildS,Bild Stuttgart,1,1,1,BildS
BK,Berliner Kurier,1,1,1,BK
